


Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	duration	error to record, %	error to critical path, %	calculation time, sec.	is valid
average		3,71831	152,229	184



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
16_2	244	5,17241	187,059	30	OK
16_3	247	5,55556	154,639	32	OK
16_4	214	7	167,5	29	OK
16_5	213	6,5	131,522	30	OK
16_6	216	4,85437	173,418	30	OK
16_8	206	5,64103	167,532	31	OK
16_9	217	5,85366	146,591	31	OK
16_10	226	6,10329	130,612	31	OK
average		5,83504	157,359	30,5



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
36_1	217	3,33333	121,429	171	OK
36_2	230	3,13901	158,427	175	OK
36_3	236	3,05677	159,341	181	OK
36_4	244	3,38983	154,167	167	OK
36_6	236	4,88889	133,663	173	OK
36_7	215	3,36538	108,738	175	OK
36_8	178	3,48837	114,458	158	OK
36_9	230	4,0724	121,154	163	OK
36_10	225	4,16667	147,253	176	OK
average		3,65563	135,403	171



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
36_1	220	4,7619	124,49	28	OK
36_2	233	4,4843	161,798	30	OK
36_3	239	4,36681	162,637	32	OK
36_4	253	7,20339	163,542	29	OK
36_6	238	5,77778	135,644	30	OK
36_7	220	5,76923	113,592	30	OK
36_8	180	4,65116	116,867	27	OK
36_9	232	4,97738	123,077	27	OK
36_10	229	6,01852	151,648	29	OK
average		5,3345	139,255	29,1111



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
56_1	244	2,95359	156,842	162	OK
56_2	211	3,43137	142,529	154	OK
56_4	229	3,15315	166,279	151	OK
56_5	290	3,57143	147,863	164	OK
56_6	223	4,20561	134,737	157	OK
56_7	294	3,88693	151,282	166	OK
56_8	296	2,42215	198,99	165	OK
56_10	265	2,3166	159,804	168	OK
average		3,2426	157,291	160,875



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
56_1	249	5,06329	162,105	27	OK
56_2	216	5,88235	148,276	26	OK
56_4	235	5,85586	173,256	26	OK
56_5	293	4,64286	150,427	29	OK
56_6	226	5,60748	137,895	28	OK
56_7	302	6,71378	158,12	29	OK
56_8	301	4,15225	204,04	28	OK
56_10	272	5,0193	166,667	28	OK
average		5,36715	162,598	27,625



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
4_4	75	0	0	65	OK
3_1	81	1,25	2,53165	80	OK
3_2	88	0	0	62	OK
3_3	100	0	0	58	OK
3_4	71	0	0	66	OK
3_6	102	0	0	60	OK
3_7	93	0	0	56	OK
3_8	77	0	0	84	OK
3_9	86	0	0	64	OK
3_10	103	0	0	63	OK
4_2	107	0	0	52	OK
4_3	95	0	4,3956	71	OK
4_5	74	0	0	85	OK
4_6	90	0	5,88235	64	OK
4_8	90	0	0	51	OK
4_9	79	0	0	60	OK
4_10	77	0	0	52	OK
average		0,0735294	0,753506	64,2941



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
4_4	75	0	0	14	OK
3_1	80	0	1,26582	16	OK
3_2	88	0	0	14	OK
3_3	100	0	0	15	OK
3_4	71	0	0	16	OK
3_6	102	0	0	15	OK
3_7	93	0	0	15	OK
3_8	77	0	0	16	OK
3_9	86	0	0	13	OK
3_10	103	0	0	14	OK
4_2	107	0	0	13	OK
4_3	95	0	4,3956	14	OK
4_5	74	0	0	14	OK
4_6	90	0	5,88235	16	OK
4_8	90	0	0	13	OK
4_9	79	0	0	13	OK
4_10	77	0	0	13	OK
average		0	0,679046	14,3529



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
5_1	92	0	0	48	OK
5_2	80	0	0	45	OK
5_4	97	0	0	48	OK
5_5	77	0	0	29	OK
5_6	88	0	0	57	OK
5_7	84	0	0	53	OK
5_8	78	0	0	51	OK
5_10	92	0	0	41	OK
6_1	151	4,86111	101,333	155	OK
6_2	142	5,18518	97,2222	145	OK
6_3	137	1,48148	61,1765	138	OK
6_4	159	3,24675	62,2449	132	OK
6_6	161	3,87097	126,761	146	OK
6_7	175	4,16667	56,25	149	OK
6_8	157	6,80272	52,4272	136	OK
6_9	165	2,48447	89,6552	152	OK
6_10	180	4,65116	93,5484	162	OK
7_2	119	4,38596	21,4286	117	OK
7_3	104	4	15,5556	115	OK
7_4	116	3,57143	36,4706	123	OK
7_5	137	4,58015	57,4713	148	OK
7_6	129	4,03226	34,375	139	OK
7_8	101	4,12371	55,3846	127	OK
7_9	94	5,61798	18,9873	124	OK
7_10	122	3,38983	45,2381	133	OK
average		2,81807	41,0212	108,52



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
5_1	92	0	0	13	OK
5_2	80	0	0	13	OK
5_4	97	0	0	13	OK
5_5	77	0	0	12	OK
5_6	88	0	0	14	OK
5_7	84	0	0	13	OK
5_8	78	0	0	14	OK
5_10	92	0	0	12	OK
6_1	151	4,86111	101,333	24	OK
6_2	144	6,66667	100	22	OK
6_3	143	5,92593	68,2353	23	OK
6_4	164	6,49351	67,3469	23	OK
6_6	162	4,51613	128,169	23	OK
6_7	177	5,35714	58,0357	24	OK
6_8	156	6,12245	51,4563	23	OK
6_9	167	3,72671	91,954	24	OK
6_10	180	4,65116	93,5484	26	OK
7_2	115	0,877193	17,3469	21	OK
7_3	103	3	14,4444	21	OK
7_4	115	2,67857	35,2941	21	OK
7_5	135	3,05344	55,1724	24	OK
7_6	128	3,22581	33,3333	24	OK
7_8	100	3,09278	53,8462	20	OK
7_9	92	3,37079	16,4557	21	OK
7_10	120	1,69492	42,8571	22	OK
average		2,77257	41,1532	19,6



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
12_6	127	4,95868	54,8781	162	OK
12_7	124	3,33333	49,3976	155	OK
12_8	123	3,36134	70,8333	164	OK
12_9	110	4,7619	42,8571	154	OK
12_10	148	3,4965	76,1905	165	OK
13_2	91	2,24719	26,3889	124	OK
13_3	122	3,38983	15,0943	147	OK
13_4	116	3,57143	31,8182	148	OK
13_5	94	3,2967	18,9873	141	OK
10_2	91	0	0	59	OK
10_3	99	0	0	94	OK
10_4	95	0	0	81	OK
10_5	97	0	0	73	OK
10_6	92	0	0	65	OK
10_8	114	0	0	94	OK
10_9	77	0	0	60	OK
10_10	66	0	0	79	OK
11_1	178	2,89017	97,7778	155	OK
11_2	166	5,06329	112,821	159	OK
11_4	203	3,57143	111,458	182	OK
11_5	220	4,2654	126,804	174	OK
11_6	220	3,77358	141,758	162	OK
11_7	171	4,90798	108,537	156	OK
11_8	169	4,32099	77,8947	169	OK
11_10	186	2,76243	106,667	168	OK
12_1	144	4,34783	53,1915	151	OK
12_2	121	3,4188	68,0556	160	OK
12_3	142	4,41176	69,0476	153	OK
12_4	129	3,2	37,234	152	OK
13_6	103	4,0404	19,7674	134	OK
13_8	97	3,19149	11,4943	148	OK
13_9	88	3,52941	14,2857	140	OK
13_10	97	5,43478	24,359	145	OK
14_1	88	3,52941	8,64198	132	OK
14_2	97	4,30108	12,7907	132	OK
14_4	92	4,54545	8,23529	132	OK
14_5	101	4,12371	12,2222	127	OK
14_6	91	0	0	116	OK
14_7	93	2,1978	4,49438	140	OK
14_8	116	3,57143	14,8515	140	OK
14_10	84	3,7037	5	119	OK
15_1	81	0	0	94	OK
15_2	75	0	0	98	OK
15_3	87	0	0	110	OK
15_4	82	0	0	84	OK
15_6	97	0	0	89	OK
15_7	75	0	0	97	OK
15_8	126	0	0	65	OK
15_9	109	0	0	85	OK
15_10	91	0	0	97	OK
average		2,43039	32,6767	126,6



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
12_6	126	4,13223	53,6585	26	OK
12_7	123	2,5	48,1928	25	OK
12_8	123	3,36134	70,8333	26	OK
12_9	109	3,80952	41,5584	23	OK
12_10	147	2,7972	75	26	OK
13_2	90	1,1236	25	21	OK
13_3	121	2,54237	14,1509	25	OK
13_4	116	3,57143	31,8182	24	OK
13_5	93	2,1978	17,7215	23	OK
10_2	91	0	0	15	OK
10_3	99	0	0	17	OK
10_4	95	0	0	18	OK
10_5	97	0	0	15	OK
10_6	92	0	0	14	OK
10_8	114	0	0	17	OK
10_9	77	0	0	15	OK
10_10	66	0	0	15	OK
11_1	182	5,20231	102,222	27	OK
11_2	166	5,06329	112,821	26	OK
11_4	205	4,59184	113,542	31	OK
11_5	220	4,2654	126,804	29	OK
11_6	222	4,71698	143,956	28	OK
11_7	168	3,06748	104,878	27	OK
11_8	169	4,32099	77,8947	28	OK
11_10	190	4,97238	111,111	28	OK
12_1	143	3,62319	52,1277	24	OK
12_2	122	4,2735	69,4444	25	OK
12_3	142	4,41176	69,0476	26	OK
12_4	129	3,2	37,234	26	OK
13_6	101	2,0202	17,4419	24	OK
13_8	97	3,19149	11,4943	25	OK
13_9	88	3,52941	14,2857	22	OK
13_10	95	3,26087	21,7949	23	OK
14_1	87	2,35294	7,40741	23	OK
14_2	95	2,15054	10,4651	24	OK
14_4	90	2,27273	5,88235	23	OK
14_5	99	2,06186	10	22	OK
14_6	91	0	0	22	OK
14_7	92	1,0989	3,37079	23	OK
14_8	114	1,78571	12,8713	25	OK
14_10	83	2,46914	3,75	21	OK
15_1	81	0	0	18	OK
15_2	75	0	0	19	OK
15_3	87	0	0	21	OK
15_4	82	0	0	19	OK
15_6	97	0	0	17	OK
15_7	75	0	0	16	OK
15_8	126	0	0	18	OK
15_9	109	0	0	17	OK
15_10	91	0	0	18	OK
average		2,07877	32,3556	22,2



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
17_1	145	3,57143	66,6667	181	OK
17_2	128	4,06504	72,973	177	OK
17_4	124	3,33333	36,2637	183	OK
17_5	134	3,87597	48,8889	166	OK
17_6	140	2,94118	105,882	176	OK
17_7	152	4,10959	55,102	180	OK
17_8	131	3,14961	79,4521	171	OK
17_10	139	3,73134	57,9545	183	OK
18_1	141	2,17391	39,604	174	OK
18_2	120	3,44828	8,10811	149	OK
18_3	103	1,9802	43,0556	163	OK
18_4	103	1,9802	33,7662	159	OK
18_6	139	3,73134	28,7037	156	OK
18_7	121	2,54237	35,9551	158	OK
18_8	109	2,83019	23,8636	162	OK
18_9	94	3,2967	23,6842	160	OK
18_10	100	2,04082	19,0476	143	OK
19_2	85	2,40964	4,93827	143	OK
19_3	87	2,35294	20,8333	146	OK
19_4	110	3,77358	19,5652	144	OK
19_5	106	2,91262	24,7059	150	OK
19_6	92	2,22222	15	140	OK
19_8	95	2,15054	2,15054	147	OK
19_9	90	1,1236	20	150	OK
19_10	88	0	0	121	OK
20_1	90	1,1236	1,1236	112	OK
20_2	99	0	0	111	OK
20_4	89	0	0	98	OK
20_5	69	0	0	95	OK
20_6	80	0	0	94	OK
20_7	81	0	0	109	OK
20_8	108	0,934579	0,934579	129	OK
20_10	81	0	0	130	OK
21_1	117	2,63158	19,3878	110	OK
21_2	118	0,854701	35,6322	91	OK
21_3	144	0,699301	29,7297	95	OK
21_4	136	0,740741	22,5225	87	OK
21_6	110	0,917431	13,4021	99	OK
21_7	112	0,900901	41,7722	102	OK
21_8	127	0	4,95868	80	OK
21_9	103	0,980392	19,7674	104	OK
21_10	103	0,980392	18,3908	85	OK
22_2	107	0	2,88462	81	OK
22_3	97	1,04167	16,8675	101	OK
22_4	90	0	13,9241	89	OK
22_5	93	0	0	91	OK
22_6	104	0,970874	11,828	79	OK
22_8	104	0,970874	11,828	96	OK
22_9	109	0	19,7802	92	OK
22_10	79	0	11,2676	77	OK
23_1	107	0	0	66	OK
23_2	116	0	0	62	OK
23_4	106	0	2,91262	62	OK
23_5	99	0	3,125	54	OK
23_6	106	0	2,91262	73	OK
23_7	104	0	0	62	OK
23_8	101	0	1	63	OK
23_10	100	0	0	66	OK
